Effectively, you can | Basicamente, podemos
Life is not easy for anyone | A vida não é fácil para ninguém
I wish I could do more | Eu queria poder fazer mais
Sometimes I feel lost | Às vezes eu me sinto perdido
I can't carry the world on my shoulders | Eu não consigo carregar o mundo nos meus ombros
Don't judge me for my failures | Não me julgue pelas minhas falhas
I'm doing the best I can | Estou fazendo o melhor que posso
We're all fighting our own battles | Todos estamos lutando nossas próprias batalhas
I never promised you perfection | Eu nunca te prometi perfeição
Let me be who I am | Me deixe ser quem eu sou
I have feelings too | Eu também tenho sentimentos
Stop pretending you're better than me | Pare de fingir que é melhor que eu
I'm not your enemy | Eu não sou seu inimigo
We all fall down sometimes | Todos nós caímos às vezes
I need time to figure things out | Eu preciso de tempo para entender as coisas
Don't push me too hard | Não me pressione demais
I'm learning from my mistakes | Estou aprendendo com meus erros
Give me a chance to grow | Me dê uma chance de crescer
I'm not as strong as you think | Eu não sou tão forte quanto você pensa
Everyone has a breaking point | Todo mundo tem um ponto de ruptura
I can't always be what you want | Eu nem sempre posso ser o que você quer
Don't hold me to impossible standards | Não me cobre padrões impossíveis
I hurt just like you do | Eu me machuco assim como você
I'm tired of pretending | Estou cansado de fingir
I can't fix everything that's broken | Eu não consigo consertar tudo que está quebrado
Sometimes I just need to breathe | Às vezes eu só preciso respirar
I didn't ask for this responsibility | Eu não pedi essa responsabilidade
The weight of the world is too heavy | O peso do mundo é pesado demais
I'm only one person | Eu sou apenas uma pessoa
Don't expect miracles from me | Não espere milagres de mim
I fall and I get back up | Eu caio e me levanto de novo
My flaws don't define me | Minhas falhas não me definem
I'm human, not a machine | Eu sou humano, não uma máquina
Let me learn at my own pace | Me deixe aprender no meu próprio ritmo
I can't please everyone | Eu não consigo agradar a todos
I'm still figuring out who I am | Ainda estou descobrindo quem eu sou
Don't give up on me | Não desista de mim
I need your patience | Eu preciso da sua paciência
I never meant to let you down | Eu nunca quis te decepcionar
Some days are harder than others | Alguns dias são mais difíceis que outros
I can only do so much | Eu só posso fazer até certo ponto
I'm walking my own path | Estou caminhando no meu próprio caminho
I'm not here to save the world | Eu não estou aqui para salvar o mundo
Believe in me even when I fail | Acredite em mim mesmo quando eu falhar
I may stumble but I won't stop | Eu posso tropeçar, mas não vou parar
I carry scars you can't see | Eu carrego cicatrizes que você não pode ver
Don't turn your back on me | Não me dê as costas
I've been through a lot | Eu passei por muita coisa
I refuse to give up | Eu me recuso a desistir
I'm stronger than yesterday | Eu estou mais forte que ontem
My heart is in the right place | Meu coração está no lugar certo
I choose to keep going | Eu escolho continuar em frente
Don't underestimate me | Não me subestime
I'm a work in progress | Eu sou um trabalho em progresso
Tomorrow I'll try again | Amanhã eu vou tentar de novo
I won't let fear control me | Eu não vou deixar o medo me controlar
I'm brave enough to be vulnerable | Sou corajoso o bastante para ser vulnerável
Every scar tells a story | Cada cicatriz conta uma história
I'm not broken, I'm healing | Eu não estou quebrado, estou me curando
I deserve grace too | Eu também mereço compaixão
I'll rise every time I fall | Eu vou me levantar toda vez que cair
Being human is enough | Ser humano já é o bastante
I'm proud of how far I've come | Tenho orgulho de quão longe eu cheguei

What's up? | Tudo bem?
Hey, what's going on? | E aí?
Long time no see | Faz tempo que não te vejo
Nice to meet you | Prazer em te conhecer
How are you doing? | Como você tá?
I'm good, how about you? | Tô bem, e você?
Talk to you later | Falou!
See you later | Até mais
Bye, take care | Tchau, se cuida
Good to see you | Bom te ver
I'm on my way | Tô a caminho
I'm running late | Tô atrasado
I'm in a hurry | Tô com pressa
I'm exhausted | Tô cansado demais
I'm starving | Tô com fome
I'm sleepy | Tô com sono
I'm bored | Tô entediado
I'm going for a walk | Vou dar uma volta
I'm gonna take a break | Vou descansar um pouco
I just got here | Acabei de chegar
I just woke up | Acabei de acordar
I'll be right back | Já volto
Let me know when you get there | Me avisa quando chegar
I overslept | Perdi a hora
What a busy day | Que dia corrido
That makes sense | Faz sentido
I don't agree with that | Não concordo
I know, right? | Pois é
For real? | Sério?
Tell me about it | Nem me fale
I don't mind | Tanto faz
It depends | Depende
I think so | Acho que sim
I don't think so | Acho que não
Absolutely | Com certeza
No doubt | Sem dúvida
Maybe | Pode ser
I'm not sure | Não tenho certeza
I knew it! | Eu sabia!
I can't believe it | Não acredito
That's awesome! | Que legal!
That sucks | Que chato
What a relief | Que alívio
I hope so | Tomara
I'm surprised | Tô surpreso
Excuse me | Com licença
Can you help me out? | Pode me ajudar?
Make yourself at home | Fica à vontade
You don't have to | Não precisa
I appreciate it | Eu agradeço
Don't mention it | De nada
Sorry to bother you | Desculpa o incômodo
Can you say that again? | Pode repetir?
Can you speak slower, please? | Fala mais devagar, por favor
Is it okay if I...? | Tudo bem se eu...?
Do you mind if I...? | Importa se eu...?
I need a favor | Preciso de um favor
Thanks for the help | Obrigado pela ajuda
My bad | Foi mal
No worries | Sem problemas
Actually... | Na verdade...
It's like... | Tipo assim...
The thing is... | O negócio é que...
To be honest... | Pra ser sincero...
At the end of the day... | No final das contas...
Anyway... | De qualquer forma...
For instance... | Por exemplo...
In other words... | Ou seja...
Long story short... | Resumindo...
As far as I know... | Pelo que eu sei...
If I'm not mistaken... | Se não me engano...
Speaking of which... | Falando nisso...
By the way... | Mudando de assunto...
Before I forget... | Antes que eu esqueça...
Come to think of it... | Pensando bem...
I'll take a look | Vou dar uma olhada
Send me an email | Me manda por e-mail
Let's schedule a meeting | Vamos marcar uma reunião
I'm working on it | Tô trabalhando nisso
What's the deadline? | Qual é o prazo?
I need more time | Preciso de mais tempo
I'm done | Já terminei
Can I call you back? | Posso te ligar depois?
I'm in a meeting right now | Tô em reunião agora
I'll keep you posted | Vou te atualizar
I got this | Deixa comigo
It turned out great | Ficou ótimo
We need to figure this out | Temos que resolver isso
What's the next step? | Qual é o próximo passo?
I'm overwhelmed | Tô sobrecarregado
Table for two, please | Mesa pra dois, por favor
Can I see the menu? | Posso ver o cardápio?
What do you recommend? | O que você recomenda?
I'll have this one | Vou querer esse aqui
Can I get the check, please? | A conta, por favor
It's delicious | Tá delicioso
I'm full | Tô satisfeito
Can I get more water? | Pode trazer mais água?
Do you have any vegetarian options? | Tem opção vegetariana?
Let's split the bill | Vamos dividir a conta
Where is...? | Onde fica...?
How do I get there? | Como eu chego lá?
Is it far from here? | É longe daqui?
I'm lost | Tô perdido
Can you give me directions? | Pode me indicar o caminho?
How long does it take? | Quanto tempo demora?
Can I walk there? | Posso ir a pé?
Where do I catch the bus? | Onde pego o ônibus?
What time does the next one leave? | A que horas sai o próximo?
I'd like a room for two nights | Quero um quarto pra duas noites
How much is it? | Quanto custa?
It's too expensive | Tá caro demais
Is there a discount? | Tem desconto?
Can I try it on? | Posso experimentar?
Do you have another size? | Tem outro tamanho?
Do you take cards? | Aceita cartão?
I'm just browsing | Só tô dando uma olhada
I'll take it | Vou levar
Can you gift wrap it? | Pode embalar pra presente?
Where's the fitting room? | Onde é o provador?
I'm so happy | Tô feliz demais
I'm worried | Tô preocupado
I'm nervous | Tô nervoso
I'm excited | Tô empolgado
I miss you | Tô com saudade
I'm upset | Tô com raiva
I'm confused | Tô confuso
I'm chill | Tô de boa
I'm feeling great | Tô me sentindo bem
I'm stressed out | Tô estressado
Wanna hang out today? | Quer sair hoje?
Let's do it! | Bora!
What time are we meeting? | Que horas a gente se encontra?
Where should we meet? | Onde a gente se encontra?
How about tomorrow? | Pode ser amanhã?
I'm in | Tô dentro
I can't make it | Não vai dar pra mim
Maybe next time | Fica pra próxima
It was a lot of fun | Foi muito divertido
Let's keep in touch | A gente se fala
Bring whoever you want | Traz quem você quiser
Come on over | Chega mais
I feel like going out | Tô a fim de sair
I'd rather stay home | Prefiro ficar em casa
That was a great time | Que programa top
My internet is down | Minha internet caiu
What's the Wi-Fi password? | Qual é a senha do Wi-Fi?
Send me a message | Me manda uma mensagem
I saw it on your story | Vi no seu story
Follow me on there | Me segue lá
My phone is dead | Meu celular tá sem bateria
I'll send you the link | Vou te mandar o link
I can't log in | Não tô conseguindo acessar
Update the app | Atualiza o app
Let's video call | Faz uma chamada de vídeo
I'm not feeling well | Tô me sentindo mal
I need to see a doctor | Preciso ir ao médico
I have a headache | Tô com dor de cabeça
I have a cold | Tô resfriado
I have a fever | Tô com febre
I need some medicine | Preciso de remédio
I'm getting better | Tô melhorando
Take care of yourself | Cuida da sua saúde
My back hurts | Tô com dor nas costas
I need to rest | Preciso descansar
Don't forget | Não esquece
Remind me later | Me lembra depois
I'm just kidding | Tô brincando
Stop making a fuss | Para de frescura
Never mind | Deixa pra lá
It's not worth it | Não vale a pena
It's gonna work out | Vai dar certo
Don't worry about it | Não se preocupa
Do whatever you want | Faz o que quiser
Life goes on | A vida segue
To each their own | Cada um na sua
It is what it is | É o que é
It's none of my business | Não é da minha conta
Watch out | Cuidado
Pay attention | Presta atenção
That's not fair | Isso não é justo
I have no idea | Tô por fora
I'm aware | Tô ligado
You got that right | Pode crer
It's all good | Tá de boa
I see your point | Entendo seu ponto
But on the other hand... | Mas por outro lado...
I partly agree | Concordo em parte
Let me explain | Deixa eu explicar
You have a point | Você tem razão
It's not quite like that | Não é bem assim
The problem is... | O problema é que...
I see it differently | Eu penso diferente
Let's agree that... | Vamos combinar que...
Good question | Boa pergunta

Welcome to our office. I hope your trip was comfortable. | Bem-vindo ao nosso escritório. Espero que sua viagem tenha sido confortável.
It is a pleasure to meet you in person. | É um prazer te conhecer pessoalmente.
Can I offer you some coffee or water? | Posso te oferecer um café ou água?
Please have a seat. We will start in a moment. | Por favor, sente-se. Vamos começar em um momento.
Thank you for coming all the way from Switzerland. | Obrigado por vir até aqui desde a Suíça.
Let me introduce you to our team. | Deixa eu te apresentar ao nosso time.
I am the payroll coordinator for this region. | Eu sou o coordenador de folha de pagamento desta região.
Our department handles payroll for over five hundred employees. | Nosso departamento gerencia a folha de mais de quinhentos colaboradores.
We process payroll on a monthly basis. | Processamos a folha de pagamento mensalmente.
I would like to walk you through our current workflow. | Gostaria de te mostrar como funciona nosso processo atual.
We use an integrated HR and payroll system. | Usamos um sistema integrado de RH e folha de pagamento.
Our team ensures full compliance with Brazilian labor law. | Nosso time garante total conformidade com a legislação trabalhista brasileira.
The CLT is the main labor legislation here in Brazil. | A CLT é a principal legislação trabalhista aqui no Brasil.
We manage all employee benefits and deductions. | Gerenciamos todos os benefícios e descontos dos colaboradores.
Social security contributions are mandatory for all employees. | As contribuições previdenciárias são obrigatórias para todos os colaboradores.
Income tax is withheld directly from the payroll. | O imposto de renda é retido diretamente na folha de pagamento.
We handle vacation pay and thirteenth salary calculations. | Cuidamos dos cálculos de férias e décimo terceiro salário.
The thirteenth salary is paid in two installments here in Brazil. | O décimo terceiro é pago em duas parcelas aqui no Brasil.
We generate detailed payroll reports every month. | Geramos relatórios detalhados de folha de pagamento todo mês.
Our error rate has been consistently below one percent. | Nossa taxa de erro tem sido consistentemente abaixo de um por cento.
We have implemented several process improvements this year. | Implementamos várias melhorias de processo este ano.
Automation has reduced our processing time significantly. | A automação reduziu significativamente nosso tempo de processamento.
I would like to share some key performance indicators with you. | Gostaria de compartilhar alguns indicadores-chave de desempenho com você.
Our team is fully aligned with global HR standards. | Nosso time está totalmente alinhado com os padrões globais de RH.
We are working to integrate our systems with the global platform. | Estamos trabalhando para integrar nossos sistemas com a plataforma global.
Data accuracy is our top priority. | A precisão dos dados é nossa prioridade máxima.
We run payroll audits on a quarterly basis. | Realizamos auditorias de folha trimestralmente.
All sensitive data is protected according to LGPD regulations. | Todos os dados sensíveis são protegidos conforme a LGPD.
LGPD is the Brazilian data protection law, similar to GDPR. | A LGPD é a lei brasileira de proteção de dados, semelhante ao GDPR europeu.
We have a dedicated team for compliance and audit support. | Temos um time dedicado para suporte de compliance e auditoria.
Could you tell me more about Sonova's global payroll strategy? | Você poderia me contar mais sobre a estratégia global de folha da Sonova?
We are open to aligning our processes with the global framework. | Estamos abertos para alinhar nossos processos com o framework global.
I would love to learn from best practices across other regions. | Adoraria aprender com as melhores práticas de outras regiões.
Our headcount has grown fifteen percent over the last two years. | Nosso quadro de colaboradores cresceu quinze por cento nos últimos dois anos.
We currently support employees across three different states. | Atualmente atendemos colaboradores em três estados diferentes.
Each state has specific tax rules that we must follow. | Cada estado tem regras tributárias específicas que precisamos seguir.
I am happy to answer any questions you may have. | Estou feliz em responder qualquer dúvida que você tiver.
Please feel free to ask about any aspect of our operations. | Sinta-se à vontade para perguntar sobre qualquer aspecto das nossas operações.
We prepared a summary report for your visit today. | Preparamos um relatório resumido para a sua visita hoje.
Would you like me to go over the numbers in detail? | Gostaria que eu detalhasse os números?
Our team works closely with finance and accounting. | Nosso time trabalha de perto com financeiro e contabilidade.
We ensure all deadlines are met without exception. | Garantimos que todos os prazos sejam cumpridos sem exceção.
We recently completed a full system migration with no downtime. | Concluímos recentemente uma migração completa de sistema sem nenhuma interrupção.
Our average payroll closing time is three business days. | Nosso tempo médio de fechamento de folha é de três dias úteis.
We track all changes to employee records in real time. | Acompanhamos todas as alterações nos registros de colaboradores em tempo real.
Any updates from HR are reflected in payroll immediately. | Qualquer atualização do RH é refletida na folha imediatamente.
We have a clear escalation process for any payroll issues. | Temos um processo claro de escalonamento para qualquer problema de folha.
Employee satisfaction with payroll accuracy is very high. | A satisfação dos colaboradores com a precisão da folha é muito alta.
We conduct regular training sessions to keep the team updated. | Realizamos treinamentos regulares para manter o time atualizado.
How does Sonova handle payroll complexity in other countries? | Como a Sonova lida com a complexidade da folha em outros países?
What are the main challenges you see for HR operations globally? | Quais são os principais desafios que você vê para as operações de RH globalmente?
We would appreciate any feedback on our current processes. | Ficaríamos muito gratos por qualquer feedback sobre nossos processos atuais.
Is there any specific area you would like to focus on today? | Há alguma área específica na qual você gostaria de focar hoje?
We are always looking for opportunities to improve efficiency. | Estamos sempre buscando oportunidades para melhorar a eficiência.
Let me show you our payroll dashboard. | Deixa eu te mostrar nosso painel de controle da folha de pagamento.
This chart shows our monthly headcount evolution. | Este gráfico mostra a evolução mensal do nosso quadro de colaboradores.
Here you can see our average processing time per payroll cycle. | Aqui você pode ver nosso tempo médio de processamento por ciclo de folha.
We have reduced manual interventions by forty percent. | Reduzimos as intervenções manuais em quarenta por cento.
All payroll calculations are validated by a second reviewer. | Todos os cálculos de folha são validados por um segundo revisor.
We maintain a complete audit trail for every transaction. | Mantemos um rastro de auditoria completo para cada transação.
I can send you a detailed report after our meeting. | Posso te enviar um relatório detalhado após nossa reunião.
Would you prefer the report in English or Portuguese? | Você prefere o relatório em inglês ou português?
Our team is bilingual and ready to support global initiatives. | Nosso time é bilíngue e está pronto para apoiar iniciativas globais.
We are excited about the opportunities that come with being part of Sonova. | Estamos entusiasmados com as oportunidades que vêm de fazer parte da Sonova.
Sonova's mission resonates strongly with our team here. | A missão da Sonova ressoa muito com nosso time aqui.
Helping people hear better is a purpose we all believe in. | Ajudar as pessoas a ouvir melhor é um propósito em que todos acreditamos.
We are committed to supporting the company's growth in Brazil. | Estamos comprometidos em apoiar o crescimento da empresa no Brasil.
Brazil is one of the largest hearing health markets in the world. | O Brasil é um dos maiores mercados de saúde auditiva do mundo.
Our workforce is highly skilled and motivated. | Nosso time é altamente qualificado e motivado.
Employee retention has improved significantly this year. | A retenção de colaboradores melhorou significativamente este ano.
We offer competitive benefits aligned with market standards. | Oferecemos benefícios competitivos alinhados com o mercado.
Health insurance and meal vouchers are part of our package. | Plano de saúde e vale-refeição fazem parte do nosso pacote de benefícios.
We also provide transportation and life insurance benefits. | Também oferecemos vale-transporte e seguro de vida.
Profit sharing is distributed annually to all employees. | A participação nos lucros é distribuída anualmente a todos os colaboradores.
Our onboarding process has been fully digitized. | Nosso processo de integração foi totalmente digitalizado.
New hires complete all documentation through our HR portal. | Os novos colaboradores concluem toda a documentação pelo nosso portal de RH.
Electronic payslips are available to all employees online. | Os holerites eletrônicos estão disponíveis para todos os colaboradores online.
We have a self-service portal for common HR requests. | Temos um portal de autoatendimento para solicitações comuns de RH.
Employees can check their payslip and benefits at any time. | Os colaboradores podem consultar o holerite e os benefícios a qualquer momento.
Our helpdesk response time for payroll queries is under four hours. | Nosso tempo de resposta para dúvidas de folha é inferior a quatro horas.
We take employee feedback very seriously. | Levamos o feedback dos colaboradores muito a sério.
I would like to schedule a follow-up meeting after your visit. | Gostaria de agendar uma reunião de acompanhamento após sua visita.
Is there anything specific you would like us to prepare? | Há algo específico que você gostaria que preparássemos?
We are very transparent about our numbers and processes. | Somos muito transparentes sobre nossos números e processos.
I believe our team is ready for the next level of integration. | Acredito que nosso time está pronto para o próximo nível de integração.
This has been a very productive conversation, thank you. | Esta foi uma conversa muito produtiva, obrigado.
I hope we can continue to build a strong partnership. | Espero que possamos continuar construindo uma parceria sólida.
Please do not hesitate to contact me directly if you need anything. | Não hesite em me contatar diretamente se precisar de qualquer coisa.
It was truly an honor to receive you here today. | Foi uma honra genuína receber você aqui hoje.
Safe travels back to Switzerland. | Boa viagem de volta à Suíça.
We look forward to seeing you again soon. | Esperamos vê-lo novamente em breve.
Thank you for your time and your trust in our team. | Obrigado pelo seu tempo e pela confiança no nosso time.
I am very proud to represent our payroll team today. | Tenho muito orgulho de representar nosso time de folha hoje.
Together we can make a real difference for our employees. | Juntos podemos fazer uma diferença real para nossos colaboradores.
We are ready to grow together as a global company. | Estamos prontos para crescer juntos como uma empresa global.
I am confident our team will exceed your expectations. | Estou confiante de que nosso time vai superar suas expectativas.
Your visit means a great deal to our entire department. | Sua visita significa muito para todo o nosso departamento.
We appreciate the opportunity to show what we have built here. | Agradecemos a oportunidade de mostrar o que construímos aqui.
Let's keep in touch and move forward together. | Vamos manter contato e avançar juntos.
I am looking forward to our next conversation. | Estou ansioso para nossa próxima conversa.


I focused on delivering the best results. | Eu foquei em entregar os melhores resultados.
We worked hard for our customers. | Nós trabalhamos duro pelos nossos clientes.
I appreciated the team effort. | Eu valorizei o esforço do time.
We built a stronger structure. | Nós construímos uma estrutura mais forte.
I supported regional alignment. | Eu apoiei o alinhamento regional.
We expanded across different markets. | Nós expandimos para diferentes mercados.
I worked with global teams. | Eu trabalhei com times globais.
I noticed strong engagement everywhere. | Eu percebi forte engajamento em todos os lugares.
People showed real passion. | As pessoas mostraram paixão real.
We aimed to make a difference. | Nós buscamos fazer a diferença.

I understood the new strategy. | Eu entendi a nova estratégia.
We set ambitious goals. | Nós definimos metas ambiciosas.
I aligned with company vision. | Eu me alinhei à visão da empresa.
We aimed to grow significantly. | Nós buscamos crescer significativamente.
I saw the business potential. | Eu vi o potencial do negócio.
We focused on long-term impact. | Nós focamos em impacto de longo prazo.
I reflected on our purpose. | Eu refleti sobre nosso propósito.
We reinforced our mission. | Nós reforçamos nossa missão.
I understood market challenges. | Eu entendi os desafios do mercado.
We identified key barriers. | Nós identificamos barreiras principais.

Many people didn’t have access. | Muitas pessoas não tiveram acesso.
Some lacked awareness. | Alguns não tinham conhecimento.
Others faced financial limits. | Outros enfrentaram limitações financeiras.
I saw gaps in the market. | Eu vi lacunas no mercado.
We worked to remove barriers. | Nós trabalhamos para remover barreiras.
I focused on adoption strategies. | Eu foquei em estratégias de adoção.
We prioritized innovation. | Nós priorizamos inovação.
I supported product improvements. | Eu apoiei melhorias de produto.
We improved user experience. | Nós melhoramos a experiência do usuário.
I contributed to new ideas. | Eu contribuí com novas ideias.

How can I help you today? | Como posso te ajudar hoje?
I'll take care of that for you right away. | Vou cuidar disso para você agora mesmo.
Could you please give me a moment? | Você poderia me dar um momento, por favor?
I completely understand your concern. | Eu entendo completamente a sua preocupação.
Let me check that for you. | Deixa eu verificar isso para você.
I'm sorry to keep you waiting. | Sinto muito por te fazer esperar.
Is there anything else I can help you with? | Há mais alguma coisa em que eu possa te ajudar?
I appreciate your patience. | Agradeço a sua paciência.
Let me transfer you to the right department. | Vou te transferir para o departamento correto.
Could you please repeat that? | Você poderia repetir isso, por favor?
I want to make sure I understand correctly. | Quero ter certeza de que entendi corretamente.
I'll look into that immediately. | Vou verificar isso imediatamente.
Thank you for bringing this to our attention. | Obrigado por trazer isso ao nosso conhecimento.
I completely agree with you. | Concordo completamente com você.
Let me find the best solution for you. | Deixa eu encontrar a melhor solução para você.
I'll make a note of that. | Vou fazer uma anotação sobre isso.
Could you please hold for just a moment? | Você poderia aguardar apenas um momento?
I understand this has been frustrating for you. | Entendo que isso tem sido frustrante para você.
We really value your feedback. | Valorizamos muito o seu feedback.
I'll follow up with you as soon as possible. | Vou retornar com você o mais rápido possível.
Let me walk you through the process. | Deixa eu te explicar o processo passo a passo.
I want to make sure everything is resolved. | Quero ter certeza de que tudo está resolvido.
Could you please confirm your name? | Você poderia confirmar o seu nome, por favor?
I'll do my best to help you. | Farei o meu melhor para te ajudar.
That's a great question. | Essa é uma ótima pergunta.
I understand your point of view. | Entendo o seu ponto de vista.
Let me get back to you on that. | Deixa eu retornar com você sobre isso.
I apologize for any inconvenience caused. | Peço desculpas por qualquer inconveniente causado.
Could you please provide more details? | Você poderia fornecer mais detalhes, por favor?
I'll make sure this gets resolved quickly. | Vou garantir que isso seja resolvido rapidamente.
We take this very seriously. | Levamos isso muito a sério.
I'll escalate this to my supervisor. | Vou escalar isso para o meu supervisor.
Thank you for your understanding. | Obrigado pela sua compreensão.
Is this the first time this has happened? | É a primeira vez que isso acontece?
I'll send you a confirmation by email. | Vou te enviar uma confirmação por e-mail.
Could you please spell that for me? | Você poderia soletrar isso para mim?
Let me put you in touch with the right person. | Deixa eu te colocar em contato com a pessoa certa.
I want to ensure you have a great experience. | Quero garantir que você tenha uma ótima experiência.
Could you give me your reference number? | Você poderia me passar o seu número de referência?
I'll have an answer for you shortly. | Terei uma resposta para você em breve.
We sincerely apologize for the inconvenience. | Pedimos sinceras desculpas pelo inconveniente.
Let me double-check that information for you. | Deixa eu verificar novamente essa informação para você.
I assure you we will resolve this. | Garanto que vamos resolver isso.
Could you please hold while I check? | Você poderia aguardar enquanto eu verifico?
I completely understand your frustration. | Entendo completamente a sua frustração.
Thank you for your loyalty as a customer. | Obrigado pela sua fidelidade como cliente.
I'll personally make sure this is handled. | Vou pessoalmente garantir que isso seja tratado.
Could you please verify your information? | Você poderia verificar as suas informações, por favor?
We are working on a solution right now. | Estamos trabalhando em uma solução agora mesmo.
I'll keep you updated throughout the process. | Vou te manter atualizado durante todo o processo.
